TCGA-BA-5149-01	TCGA-BA-5152-01	TCGA-BA-5153-01	TCGA-BA-5556-01	TCGA-BA-5558-01	TCGA-BA-5559-01	TCGA-BA-6872-01	TCGA-BA-A6D8-01	TCGA-BA-A6DD-01	TCGA-BA-A6DJ-01	TCGA-BB-4223-01	TCGA-BB-7866-01	TCGA-BB-A5HU-01	TCGA-BB-A6UM-01	TCGA-CN-4726-01	TCGA-CN-4728-01	TCGA-CN-4731-01	TCGA-CN-4734-01	TCGA-CN-4740-01	TCGA-CN-5358-01	TCGA-CN-5359-01	TCGA-CN-5364-01	TCGA-CN-5365-01	TCGA-CN-5369-01	TCGA-CN-5373-01	TCGA-CN-5374-01	TCGA-CN-6011-01	TCGA-CN-6013-01	TCGA-CN-6016-01	TCGA-CN-6018-01	TCGA-CN-6020-01	TCGA-CN-6994-01	TCGA-CN-6995-01	TCGA-CN-A499-01	TCGA-CN-A63V-01	TCGA-CN-A642-01	TCGA-CN-A6V1-01	TCGA-CQ-5324-01	TCGA-CQ-5326-01	TCGA-CQ-5331-01	TCGA-CQ-5332-01	TCGA-CQ-5334-01	TCGA-CQ-6218-01	TCGA-CQ-6220-01	TCGA-CQ-6223-01	TCGA-CQ-6227-01	TCGA-CQ-6228-01	TCGA-CQ-7063-01	TCGA-CQ-7068-01	TCGA-CQ-7069-01	TCGA-CQ-7071-01	TCGA-CQ-7072-01	TCGA-CQ-A4C6-01	TCGA-CQ-A4C7-01	TCGA-CQ-A4CB-01	TCGA-CQ-A4CD-01	TCGA-CQ-A4CI-01	TCGA-CR-5243-01	TCGA-CR-5247-01	TCGA-CR-5248-01	TCGA-CR-5249-01	TCGA-CR-6467-01	TCGA-CR-6470-01	TCGA-CR-6471-01	TCGA-CR-6478-01	TCGA-CR-6480-01	TCGA-CR-6481-01	TCGA-CR-6482-01	TCGA-CR-6484-01	TCGA-CR-6487-01	TCGA-CR-6492-01	TCGA-CR-7365-01	TCGA-CR-7367-01	TCGA-CR-7369-01	TCGA-CR-7373-01	TCGA-CR-7376-01	TCGA-CR-7377-01	TCGA-CR-7379-01	TCGA-CR-7380-01	TCGA-CR-7383-01	TCGA-CR-7385-01	TCGA-CR-7386-01	TCGA-CR-7395-01	TCGA-CR-7404-01	TCGA-CV-5436-01	TCGA-CV-5966-01	TCGA-CV-6937-01	TCGA-CV-6938-01	TCGA-CV-6942-01	TCGA-CV-6948-01	TCGA-CV-6955-01	TCGA-CV-7090-01	TCGA-CV-7091-01	TCGA-CV-7095-01	TCGA-CV-7097-01	TCGA-CV-7099-01	TCGA-CV-7100-01	TCGA-CV-7102-01	TCGA-CV-7178-01	TCGA-CV-7235-01	TCGA-CV-7252-01	TCGA-CV-7254-01	TCGA-CV-7263-01	TCGA-CV-7407-01	TCGA-CV-7409-01	TCGA-CV-7413-01	TCGA-CV-7423-01	TCGA-CV-7425-01	TCGA-CV-7427-01	TCGA-CV-7428-01	TCGA-CV-7434-01	TCGA-CV-7435-01	TCGA-CV-A45X-01	TCGA-CV-A464-01	TCGA-CV-A468-01	TCGA-CV-A6JD-01	TCGA-CV-A6JE-01	TCGA-CV-A6JN-01	TCGA-CV-A6JZ-01	TCGA-CX-7082-01	TCGA-CX-7219-01	TCGA-CX-A4AQ-01	TCGA-D6-6516-01	TCGA-D6-A6EN-01	TCGA-DQ-7590-01	TCGA-DQ-7596-01	TCGA-F7-A624-01	TCGA-H7-7774-01	TCGA-H7-8501-01	TCGA-H7-A76A-01	TCGA-HD-7754-01	TCGA-HD-7832-01	TCGA-HD-A633-01	TCGA-HD-A6I0-01	TCGA-HL-7533-01	TCGA-IQ-7631-01	TCGA-KU-A6H7-01	TCGA-MT-A51W-01	TCGA-MT-A67D-01	TCGA-MT-A67F-01	TCGA-MT-A7BN-01	TCGA-MZ-A5BI-01	TCGA-P3-A5Q5-01	TCGA-P3-A5Q6-01	TCGA-P3-A6SW-01	TCGA-P3-A6SX-01	TCGA-P3-A6T0-01	TCGA-P3-A6T5-01	TCGA-P3-A6T7-01	TCGA-P3-A6T8-01	TCGA-QK-A64Z-01	TCGA-QK-A6IF-01	TCGA-QK-A6IG-01	TCGA-QK-A6IH-01	TCGA-QK-A6IJ-01	TCGA-QK-A6V9-01	TCGA-QK-A6VB-01	TCGA-QK-A8Z7-01	TCGA-QK-A8Z9-01	TCGA-RS-A6TO-01	TCGA-RS-A6TP-01	TCGA-T2-A6X0-01	TCGA-T2-A6X2-01	TCGA-T3-A92N-01	TCGA-TN-A7HI-01	TCGA-UF-A71A-01	TCGA-UF-A71B-01	TCGA-UF-A7JA-01	TCGA-UF-A7JC-01	TCGA-UF-A7JD-01	TCGA-UF-A7JO-01	TCGA-UF-A7JT-01	TCGA-WA-A7GZ-01
NK cells resting	0.003960536	0.071951925	0.15228887900000002	0.09139462300000001	0.045690710999999995	0.095486272	0.033230327999999996	0.046143137	0.052377847000000005	0.08329552700000001	0.031469997	0.060568662999999995	0.08438166300000001	0.100585326	0.004809824	0.020749745	0.020343292	0.092446871	0.02028358	0.063275608	0.08998617099999999	0.031215945	0.022888113999999998	0.09407055	0.060471295	0.03691403	0.15212695099999998	0.055792369	0.066682954	0.06709093299999999	0.104473137	0.030255135	0.07848556200000001	0.114359982	0.09157765400000001	0.063201194	0.0	0.077279188	0.061251362000000004	0.062766451	0.044174002000000004	0.108654261	0.070164823	0.051079094000000005	0.004331927	0.04339378	0.055210947999999996	0.079324793	0.20150174	0.036328229	0.014263122	0.079160097	0.062891385	0.064882671	0.097158705	0.055648882999999996	0.013989993000000001	0.054317489000000004	0.025442872999999998	0.14758754	0.059968568	0.056310852	0.033610095	0.085584861	0.033928314	0.068185895	0.051857432	0.084459881	0.048415662000000005	0.054361749	0.045199407000000004	0.055131455999999995	0.08926125300000001	0.006574602	0.09943274	0.05090267	0.059087492	0.045942138	0.048368905999999996	0.012544011	0.08586291900000001	0.011840979	0.097660013	0.114172228	0.0	0.057723236	0.014723728	0.023708766000000003	0.09974392800000001	0.058186466	0.043261235999999995	0.047705245	0.058396024000000005	0.041079732	0.066067915	0.031560089	0.021086163999999998	0.03310019	0.039941274	0.046553668	0.0	0.020870931000000002	0.011808714	0.07443261799999999	0.012107096000000001	0.017651721000000002	0.092434405	0.076418631	0.11552198400000001	0.01736274	0.10724683199999999	0.034984465	0.037388046	0.026721569	0.073781381	0.0	0.0	0.069039303	0.070315928	0.034254657	0.084623861	0.028369888	0.114518497	0.001	0.024232478	0.036274079	0.074420631	0.027747031000000002	0.118139784	0.052021915	0.004795816	0.07732133	0.052099217	0.099059171	0.030337733	0.026212357000000002	0.075198265	0.03874324	0.045728523	0.048305598	0.029668357000000003	0.018685768000000002	0.030717841	0.01966221	0.037275712999999995	0.08147941	0.10985744199999999	0.017040091	0.065817476	0.087199859	0.060653202	0.044140755999999996	0.024868586	0.00143517	0.113532453	0.048916903	0.037432776	0.025333879	0.034241972999999995	0.002894648	0.055023719000000006	0.063931502	0.0	0.044115330999999994	0.007221773000000001	0.016323709	0.08526407800000001	0.04350302599999999	0.079827169	0.071409696	0.03811048	0.089165873	0.0054620219999999995
NK cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041163408	0.0	0.0	0.0	0.0	0.0	0.014342475	0.0	0.0	0.058071107999999996	0.0	0.022317409	0.028507874	0.0	0.0	0.007356109	0.022836656	0.0	0.0	0.013454484	0.041054046000000004	0.028026607999999998	0.0	0.027091466	0.0	0.0	0.0	0.007327048	0.0	0.0	0.0	0.0	0.0	0.0	0.023284841	0.0	0.0	0.0	0.0	0.00431904	0.024053455	0.0	0.0	0.001863795	0.0	0.0	0.0	0.0	0.023485026000000003	0.0	0.0	0.0	0.0	0.0	0.010396324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028032078	0.0	0.0	0.0	0.0	0.049921199000000006	0.037900951	0.0	0.029548698999999998	0.010320191	0.039418655	0.031362348	0.0	0.0	0.011104912	0.0	0.0	0.023875036000000002	0.0	0.004052208	0.041108737	0.0	0.0	0.0	0.022396322000000003	0.069040716	0.0	0.0	0.004866221	0.0	0.002039895	0.037148086000000004	0.0	0.0	0.034393123	0.0	0.042099627	0.114805511	0.0	0.0	0.0	0.0	0.0	0.010748581	0.05048837	0.0	0.0	0.045060074000000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10370966300000001	0.00481009	0.012102509	0.037803434	0.0	0.018752954	0.0	0.0	0.017814601	0.019474416	0.0003	0.031620965	0.0	0.0	0.0	0.0	0.026030521	0.0	0.07108732	0.0	0.0	0.019528939	0.018788316	0.002071313	0.0	0.028790704	0.098363559	0.0	0.11559156300000001	0.0	0.009885362	0.009931346	0.0	0.026582627	0.0	0.0	0.0	0.011487971000000001	0.034443998999999996
Monocytes	0.028822794	0.021949406	0.0	0.020435612	0.0	0.012313946999999999	0.0	0.085002664	0.012460625	0.0	0.012209542	0.007681534	0.009070025	0.028632812999999997	0.030474453999999998	0.0	0.011927465	0.021900316	0.0	0.0	0.004730309	0.0	0.0026212979999999998	0.0	0.0	0.0	0.027412757000000003	0.019264612	0.0	0.0	0.0	0.0001	0.011961031	0.004300098	0.004404787	0.00986527	0.0	0.009598365	0.0	0.014671601000000001	0.0	0.014279763000000001	0.0	0.0	0.018857908	0.0	0.0	0.0	0.010015317	0.014302255	0.0	0.0	0.015283798000000001	0.0	0.0	0.0	0.033819243	0.016537161	0.0	0.0	0.01461119	0.002999328	0.001232348	0.00788445	0.0	0.008878282	0.0	0.026618641000000002	0.0	0.015165202	0.01160254	0.0	0.01509955	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0034309040000000002	0.0	0.002172044	0.0	0.0	0.011498236	0.0	0.0	0.0	0.0	0.0070660440000000005	0.0	0.002121285	0.0	0.0	0.0	0.001	0.0	0.0	0.010794753999999998	0.004468384000000001	0.0	0.0	0.023284951	0.0	0.0	0.0	0.004288414	0.0	0.0	0.028003577	0.0	0.0	0.0	0.02978681	0.004202752	0.0	0.018008993	0.0	0.0	0.0	0.042951772	0.007129432	0.011825473000000001	0.0	0.006280911	0.03599094	0.004755074000000001	0.0	0.029375232999999997	0.0	0.0	0.0	0.035408116	0.0	0.0	0.033912837	0.0	0.0	0.0	0.0	0.005667484	0.023800685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002282278	0.0	0.027840777999999997	0.0	0.029873157	0.014634709	0.027002968999999998	0.0	0.0	0.0	0.004729882	0.0073558880000000005	0.018901879	0.0	0.0	0.0	0.007259117	0.0	0.0	0.0	0.0	0.0	0.001266202
Macrophages M0	0.20399618600000002	0.11423483699999999	0.054360198	0.05545599999999999	0.298132141	0.045720486	0.49400371600000004	0.267520611	0.11796466300000001	0.234802371	0.139122892	0.096239194	0.361747886	0.0	0.203407635	0.586974091	0.231115131	0.19108739	0.496701861	0.215785179	0.21930160399999998	0.480916279	0.174238135	0.123689416	0.048446234000000005	0.152585378	0.20356769	0.262095077	0.46576794299999996	0.390817188	0.39358474	0.543874864	0.097206313	0.044398564	0.514727069	0.0	0.112870854	0.284676752	0.487678678	0.042095655	0.424983276	0.09990875	0.286845476	0.28408011699999997	0.319786919	0.45474717299999995	0.44871455600000004	0.139653319	0.062469987000000005	0.452481942	0.177202324	0.328131086	0.161591489	0.325732358	0.218581067	0.106877673	0.40197687	0.16605963099999999	0.543831861	0.201937996	0.078831733	0.114064574	0.134186727	0.17682413600000002	0.182536266	0.033230644	0.222024707	0.093658163	0.35155011700000005	0.02002873	0.119616664	0.47941043	0.35454130799999994	0.257969346	0.270302043	0.254675124	0.156880929	0.404968758	0.164846963	0.15747735	0.09079096099999999	0.212577945	0.11866602300000001	0.141640785	0.283113677	0.06452922400000001	0.576965254	0.175724981	0.132006041	0.293996311	0.143398954	0.423456209	0.178008339	0.308485749	0.40074147600000004	0.312372627	0.06917909900000001	0.445792989	0.36922605399999997	0.106668809	0.273815875	0.20859852199999998	0.506019945	0.018562856000000003	0.267069919	0.47849848700000003	0.594429346	0.124244519	0.057930401	0.30958905	0.070126735	0.456673683	0.701154726	0.283815146	0.042265777000000004	0.071453948	0.18896828300000001	0.066943742	0.026953656	0.193455419	0.294703467	0.17993497	0.111872604	0.034916461	0.486429147	0.020970051	0.010333644	0.036279242999999996	0.13263572099999998	0.163190378	0.35821820000000004	0.251525571	0.379058079	0.155614275	0.26673436699999997	0.719611489	0.135321468	0.20345132100000002	0.328772016	0.098300758	0.33848960200000006	0.181142091	0.075049411	0.30574219199999997	0.094576826	0.50014799	0.49547017	0.466089835	0.38597265299999994	0.42896747399999996	0.20921350000000002	0.078607959	0.161607348	0.544732901	0.059215338	0.167087844	0.558293535	0.439373036	0.16329709	0.315456296	0.18138654699999998	0.158135795	0.036397149	0.0	0.173147446	0.43286064399999996	0.398400186	0.37831479	0.5666174079999999	0.457817973	0.303120407	0.080183159	0.519155739
Macrophages M1	0.168882422	0.08767441	0.033070751	0.161304536	0.09638844099999999	0.14251840300000002	0.071645003	0.013214093	0.23686564	0.18023325199999998	0.097606753	0.130583541	0.005404824	0.173075132	0.0	0.0	0.0297805	0.190407025	0.039078152000000005	0.046905120999999994	0.053347555	0.039444312	0.077631155	0.258110319	0.163963989	0.114270955	0.072138707	0.209461018	0.055028917000000004	0.14556535199999998	0.018483485	0.014427772	0.169951381	0.23142442300000002	0.009070866	0.212550643	0.085670336	0.11957587	0.012905034	0.311966247	0.009831201999999999	0.249277914	0.095080194	0.13447447199999998	0.107026605	0.100870026	0.030208198	0.18122459	0.180198188	0.0	0.166239051	0.0	0.259856847	0.118283026	0.074810022	0.255112269	0.0	0.050106097999999995	0.00642708	0.050273856	0.059626435	0.076733148	0.13834389800000002	0.075957988	0.222206447	0.040298542	0.12198957	0.124507355	0.104511569	0.094294835	0.157444762	0.08944747199999999	0.053446806	0.0	0.20069105	0.116584094	0.150380526	0.021200071	0.061594063	0.079900343	0.104197945	0.11944369999999999	0.12947683	0.137453445	0.1324882	0.155011874	0.010152147	0.216383876	0.170592843	0.09553186400000001	0.116523851	0.115273758	0.11486822599999999	0.04977085	0.059814399000000004	0.199798946	0.26738255899999996	0.08483819599999999	0.087048288	0.11282269	0.069611534	0.063862383	0.064061033	0.167319353	0.082263417	0.066547829	0.009804108	0.099779069	0.243840193	0.209459383	0.288444137	0.05797174	0.017432925	0.126674631	0.084766387	0.18674800100000002	0.04451781900000001	0.071665424	0.13042087	0.116662807	0.11395282699999999	0.065606205	0.191962527	0.148829531	0.072792274	0.099775629	0.160023459	0.054343409	0.214537129	0.109398645	0.0	0.105165749	0.0	0.08467512	0.26617211399999996	0.0	0.16387975300000002	0.304063829	0.062569807	0.11717719800000001	0.050472087	0.074871033	0.042053716	0.001658299	0.055930532000000005	0.0	0.0	0.0	0.212050168	0.0	0.195657492	0.07300509599999999	0.102126145	0.0017119379999999999	0.058205295	0.128651282	0.0	0.030756194	0.097878171	0.241144668	0.161074487	0.20405011899999997	0.241241708	0.33934505299999995	0.12523282	0.022303372000000002	0.008457596	0.030534795	0.037376228	0.0012362410000000001	0.24009018	0.22956204600000002	0.0
Macrophages M2	0.023967712999999998	0.080457077	0.109005659	0.08712773	0.12151719400000001	0.15541191	0.10269754699999999	0.212377553	0.084133161	0.061336502	0.089304513	0.206472763	0.0035094609999999997	0.062978248	0.071580382	0.171156618	0.043883724000000006	0.028045382	0.222253024	0.223146208	0.151268919	0.120392198	0.220797246	0.160574495	0.196481392	0.039747575	0.167079521	0.132049837	0.094117315	0.11482621800000001	0.067284488	0.071689737	0.163295111	0.095680263	0.01519411	0.103781641	0.067159791	0.047039445	0.11846003599999999	0.139108641	0.156415693	0.131826344	0.154146136	0.13640311	0.094495085	0.151628882	0.126737699	0.132718604	0.115041616	0.0	0.17230361	0.18901092100000003	0.044392379	0.073635974	0.19220565	0.123209902	0.08312444599999999	0.007533733000000001	0.040811577	0.089962456	0.046549374000000004	0.08293914299999999	0.047176582	0.111252445	0.129204934	0.085048445	0.090791538	0.125085556	0.155374546	0.150706702	0.131174607	0.11294111800000001	0.128650318	0.161489288	0.08473934400000001	0.200642973	0.151264774	0.106841059	0.230376026	0.248928631	0.13425546800000002	0.271836189	0.100153069	0.139947661	0.065960176	0.327722058	0.153085506	0.145085224	0.13429153	0.189606799	0.09545116099999999	0.189106295	0.096406793	0.136110005	0.25835796	0.024075977999999998	0.12285444300000001	0.259167304	0.167094649	0.15382219800000002	0.081305524	0.277162786	0.15062883	0.255277458	0.205509209	0.076424985	0.009411604	0.159016042	0.148953951	0.148805531	0.132730617	0.116202289	0.0004	0.168438993	0.127120829	0.19334507	0.126021832	0.137156539	0.306337807	0.19961668	0.150171184	0.039518761	0.068800863	0.125050531	0.080444239	0.090835667	0.150838045	0.174154714	0.13832240699999998	0.156100095	0.15958954	0.196697718	0.09515305800000001	0.25119196899999996	0.015422581999999999	0.049253026	0.051442768	0.012112108	0.105182965	0.139382358	0.22391177	0.08891091400000001	0.234208711	0.249773049	0.181306059	0.034990016	0.01652794	0.10360199699999999	0.0	0.053840165	0.147328624	0.04725417	0.124115906	0.067192185	0.19464886899999997	0.034609406	0.059405482999999995	0.059407062999999996	0.22436280100000003	0.147393319	0.034584292	0.13730087800000002	0.123530531	0.225234488	0.18400995	0.164224758	0.162690576	0.07356829299999999	0.071197785	0.051063482	0.16743423699999999	0.179030055	0.021580232999999997
Dendritic cells resting	0.014082621000000002	0.020221448	0.005064826	0.0	0.0	0.002507365	0.0	0.0	0.024702831	0.0	0.0	0.001632411	0.012154458	0.0	0.03496744	0.0	0.0008	0.014235986	0.0	0.0	0.0	0.013142591	0.04501412	0.0	0.066157012	0.0	0.0	0.004377422	0.002256154	0.0	0.0	0.0	0.0008	0.0	0.0013569139999999999	0.04663741	0.0	0.0	0.0	0.0	0.0	0.0033045640000000003	0.0	0.0	0.0	0.0	0.0	0.019119634	0.0	0.0	0.0	0.030880058999999998	0.0043859	0.00206324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009808571	0.003240924	0.0	0.011864534	0.008080628000000001	0.002100103	0.0	0.01593465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010224978000000001	0.051378916	0.017760291	0.004497584000000001	0.0	0.0	0.021746072999999998	0.0	0.0	0.0	0.0	0.0	0.08558143	0.0	0.035671101000000004	0.018153947	0.0	0.0	0.00954503	0.0	0.0050803720000000005	0.0	0.0009	0.0001	0.0	0.057637019000000005	0.0	0.054064978	0.0	0.075181548	0.025167267000000004	0.001162324	0.012836661999999999	0.0	0.0053493130000000005	0.003107729	0.018168058	0.09411006	0.028901171	0.009925054	0.008147681	0.0	0.0	0.007292127	0.010314821	0.018507511	0.003799007	0.0	0.0112154	0.071007593	0.0	0.0	0.018405277	0.0	0.0	0.001450834	0.014620962	0.0	0.011463296000000001	0.0	0.0	0.0	0.0019332000000000002	0.0	0.013963455	0.0	0.0	0.0	0.0	0.008396296999999999	0.0	0.0	0.00466731	0.0	0.0	0.010947445	0.021930692	0.0	0.0	0.0	0.060620702	0.0015544110000000001	0.0	0.004229007	0.049838322000000004	0.0	0.006900764	0.003040805	0.0	0.0	0.0	0.0	0.0	0.0070505690000000005	0.0
Dendritic cells activated	0.041394444	0.166551169	0.03028196	0.04389448	0.014995468999999999	0.005741003000000001	0.023980592000000002	0.0034841090000000004	0.025730586	0.041969279000000005	0.0	0.016903709	0.06588218	0.102294884	0.060291892	0.056301092000000004	0.038352392	0.063286878	0.018579778	0.05255880000000001	0.037795378	0.017416845	0.031880988	0.045354017	0.048167888	0.0	0.021379336000000002	0.044363136	0.0	0.024024287999999998	0.07347304	0.056343773	0.005290525999999999	0.119547165	0.0	0.0	0.0	0.067484103	0.034542715	0.021612715	0.027618436	0.002766658	0.059842592	0.139596614	0.111253571	0.015363383000000001	0.011900214	0.016553783	0.002475748	0.252491034	0.09637075199999999	0.029570497999999997	0.062930243	0.0	0.128219413	0.18231875	0.056198658	0.013069464	0.0	0.0	0.042031174000000004	0.014606421000000001	0.002246786	0.037188699	0.012655676000000001	0.276564207	0.0	0.004021242	0.0	0.009986281	0.030931197	0.0	0.017450501	0.05355663	0.030259906	0.014844006000000002	0.0	0.006152343	0.03886226	0.030761671	0.04031003	0.003055625	0.082118864	0.017134269	0.09542719699999999	0.10300377599999999	0.006407606	0.12256419800000001	0.021682049	0.0	0.054860805	0.0	0.023824386	0.076101299	0.062401557	0.060483565999999996	0.0	0.0	0.0	0.110882837	0.076778608	0.0	0.0	0.060954510999999996	0.028808506	0.0	0.069448123	0.072292961	0.027415755	0.0	0.0	0.038349889	0.0	0.043814688	0.035906841	0.016193352	0.02263757	0.12389112099999999	0.010443082	0.047083192	0.018132256	0.0	0.061827917	0.0	0.0	0.063982739	0.0	0.126918774	0.0	0.0	0.003678227	0.077034512	0.067350698	0.001516885	0.0	0.013872444	0.007598123000000001	0.036057768	0.046262344000000004	0.026693578	0.0	0.017571817	0.0	0.021900224	0.050795482	0.0	0.032625545	0.09456180800000001	0.06085886099999999	0.162530395	0.0	0.011539728	0.017740485	0.038650232	0.011897261999999999	0.00807666	0.0	0.0	0.006391984	0.0	0.047074524000000006	0.0	0.009273593	0.053448252	0.0	0.0	0.012848761	0.010959107	0.10855284	0.0037430420000000002	0.023111918	0.0	0.12770653199999998
Mast cells resting	0.0	0.0	0.0	0.050753106	0.057772829000000005	0.053989842999999996	0.0	0.0	0.0	0.0	0.024907181	0.029333061	0.0	0.0	0.0	0.014094629	0.036082511	0.0031824009999999996	0.031823548	0.018875786000000002	0.0	0.0	0.0	0.007938246	0.067141496	0.062236823	0.0	0.017196757	0.052406586	0.0	0.0	0.02012095	0.023774722	0.037788966	0.0	0.056935522	0.032895067	0.061707853	0.0	0.06977155	0.0	0.030118917999999998	0.041240565	0.028778537000000003	0.0	0.02967015	0.0	0.049075319000000006	0.002632024	0.0	0.041750643999999996	0.0	0.0	0.0	0.0	0.0	0.014433681	0.057583917000000005	0.0	0.023843966	0.0	0.0086181	0.041779081	0.002234008	0.047948574	0.003164829	0.022924637	0.021262119	0.015674305	0.01927922	0.078393153	0.014056233000000001	0.0	0.0	0.02408908	0.022960368999999998	0.051200872	0.0	0.119692647	0.06221799099999999	0.001105818	0.040171118	0.040189562000000005	0.019001808000000002	0.006223938	0.021648307999999998	0.007901316	0.059235342	0.081246654	0.028064562999999997	0.065891489	0.012463641999999999	0.035852547	0.0	0.0	0.009393559000000001	0.077711163	0.038523548	0.050553649000000006	0.07745432	0.0	0.033026009	0.040771914	0.05515310599999999	0.024843266	0.075133447	0.0	0.035992714	0.031860836000000003	0.030216516000000002	0.044514360999999995	0.036386622	0.0	0.050150981	0.009822041	0.031883497999999996	0.068427342	0.0	0.0	0.0	0.0	0.0	0.083146519	0.052769461	0.012997623	0.0	0.009252453	0.041784077	0.0	0.022602611	0.013244131999999999	0.010309609	0.0	0.0	0.066551421	0.039861182	0.0	0.08333803099999999	0.0	0.0	0.020420468	0.0	0.020466841	0.0	0.052942603	0.0	0.0	0.010860123000000001	0.0	0.0	0.034170515	0.0	0.0	0.0	0.0	0.016738483999999998	0.0039569620000000005	0.056117661	0.038440909	0.0	0.057961585	0.011796534	0.07993450099999999	0.023683872	0.004399952	0.020448776999999998	0.0	0.0	0.0	0.0	0.013137756	0.0	0.043309592
Mast cells activated	0.049704646	0.021897036	0.0	0.0	0.061573758	0.0	0.061978035	0.085777714	0.0	0.08231846	0.0	0.0	0.217852018	0.034240789	0.20502663100000001	0.0	0.0	0.0	0.0	0.001668958	0.013759341000000001	0.069010194	0.089156884	0.0	0.0	0.0	0.0	0.0	0.0	0.056086027999999996	0.09974985300000001	0.0	0.0	0.0	0.096442488	0.0	0.0	0.0	0.19688314199999998	0.0	0.058849812	0.0	0.0	0.0	0.043664379	0.0	0.06913846	0.0	0.0	0.082580538	0.0	0.015708599	0.029753477	0.050561827999999996	0.041848202	0.051850582	0.0	0.0	0.064481684	0.0	0.012423561000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002998208	0.031208569	0.038332212000000004	0.0	0.0	0.0	0.043321937000000005	0.018037598000000002	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00325797	0.0	0.0	0.0	0.0	0.0	0.0	0.045313133	0.0	0.0	0.0	0.0	0.0	0.075230303	0.0	0.0	0.0	0.0	0.0	0.037879455	0.0	0.0	0.0	0.0	0.12651577	0.0	0.007330728000000001	0.030940736	0.013516068000000001	0.0	0.0	0.0	0.0026872520000000002	0.0	0.0	0.025455877999999998	0.0	0.0	0.0	0.157153348	0.037374821	0.0	0.0	0.0	0.0	0.036958713	0.073641581	0.0	0.156956164	0.0	0.01979101	0.0	0.026848885	0.050081487	0.0	0.052484362	0.045314670999999994	0.0	0.01113139	0.0	0.070090346	0.08434407099999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00146334	0.0	0.043767515	0.002837207	0.0	0.14615240699999998	0.0	0.0	0.0
Eosinophils	0.006957428000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004377804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003115734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010916621000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043470390000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016928398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002165177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.00747294	0.0	0.0040695390000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052960590000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007157826999999999	0.002795557	0.018430736	0.004125490999999999	0.0	0.0	0.006698902	0.0	0.0	0.0	0.0	0.009881358	0.0	0.026902496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022011870000000003	0.0	0.0	0.0	0.0	0.0
